position,time,race_num,country,gender,catagory
206,07:17:17,31655,RSA,M,SEN
207,07:17:50,12525,RSA,M,VET
208,07:18:09,53883,RSA,M,SEN
209,07:18:13,32767,RSA,M,VET
210,07:18:16,16172,RSA,M,SEN
211,07:18:34,28822,RSA,M,VET
212,07:18:51,40276,RSA,M,VET
213,07:18:52,7498,RSA,M,SEN
214,07:18:54,39160,RSA,M,SEN
215,07:19:00,52594,RSA,M,SEN
216,07:19:06,38259,RSA,M,VET
217,07:19:15,48852,RSA,M,VET
218,07:19:22,59549,RSA,M,SEN
219,07:19:32,42950,RSA,M,VET
220,07:19:38,32940,RSA,M,SEN
221,07:19:43,33511,RSA,M,SEN
222,07:19:48,53256,RSA,M,SEN
223,07:20:17,50871,LES,M,SEN
224,07:20:20,24307,RSA,M,SEN
225,07:20:47,59694,ZIM,M,VET
226,07:20:51,47579,RSA,M,SEN
227,07:20:52,57875,RSA,M,VET
228,07:21:02,52266,RSA,F,SEN
229,07:21:10,31411,RSA,M,VET
230,07:21:17,38726,RSA,M,VET
231,07:21:18,50029,RSA,M,VET
232,07:21:42,53444,RSA,M,SEN
233,07:22:06,43618,RSA,M,SEN
234,07:22:11,41331,RSA,M,SEN
235,07:22:13,42534,RSA,M,SEN
236,07:22:16,55812,RSA,M,SEN
237,07:22:17,32852,RSA,M,SEN
238,07:22:19,15667,RSA,M,MAS
239,07:22:20,48335,RSA,M,SEN
240,07:22:27,48673,RSA,M,SEN
241,07:22:33,20801,GBR,M,SEN
242,07:22:43,48725,RSA,M,SEN
243,07:22:50,49492,RSA,M,VET
244,07:22:59,16991,RSA,M,VET
245,07:23:00,16940,RSA,M,VET
246,07:23:02,50454,RSA,M,SEN
247,07:23:03,25022,RSA,M,SEN
248,07:23:11,41181,RSA,M,SEN
249,07:23:21,24467,RSA,M,SEN
250,07:23:43,41313,RSA,M,SEN
251,07:23:43,27542,RSA,M,VET
252,07:23:45,51023,RSA,M,VET
253,07:23:52,54652,RSA,M,VET
254,07:23:53,53990,RSA,M,SEN
255,07:24:03,54352,RSA,M,SEN
256,07:24:03,58975,RSA,M,VET
257,07:24:12,19563,RSA,M,SEN
258,07:24:19,27267,RSA,M,SEN
259,07:24:24,54914,RSA,M,SEN
260,07:24:30,17024,RSA,M,SEN
261,07:24:30,24631,RSA,M,SEN
262,07:24:34,28817,RSA,M,SEN
263,07:24:52,37260,RSA,M,SEN
264,07:24:55,38384,RSA,M,SEN
265,07:24:57,51846,RSA,M,MAS
266,07:25:07,17547,RSA,M,VET
267,07:25:07,45214,RSA,M,SEN
268,07:25:10,50394,RSA,M,SEN
269,07:25:13,55895,RSA,M,SEN
270,07:25:14,43752,RSA,M,SEN
271,07:25:17,50834,RSA,M,SEN
272,07:25:30,53711,RSA,M,SEN
273,07:25:47,50472,RSA,M,SEN
274,07:25:56,33311,RSA,M,VET
275,07:25:58,55731,RSA,M,VET
276,07:26:08,36384,RSA,M,SEN
277,07:26:18,52089,RSA,M,SEN
278,07:26:25,39355,LES,M,VET
279,07:26:30,35786,RSA,M,VET
280,07:26:31,28211,RSA,M,SEN
281,07:26:33,34744,RSA,M,VET
282,07:26:37,53059,RSA,M,SEN
283,07:26:42,43242,RSA,M,VET
284,07:26:51,52886,RSA,M,SEN
285,07:26:53,16357,RSA,M,SEN
286,07:26:56,23063,RSA,M,SEN
287,07:27:06,51374,RSA,M,SEN
288,07:27:21,34530,RSA,M,MAS
